airline,date_of_journey,source,destination,dep_time,arrival_time,duration_minute,total_stops,additional_info,price
Multiple Carriers,2019-05-21,Delhi,Cochin,02:15:00,11:50:00,575,1,no info,14067
Indigo,2019-05-18,Banglore,Delhi,18:55:00,21:50:00,175,0,no info,4823
Indigo,2019-06-06,Kolkata,Banglore,19:35:00,23:15:00,220,1,no info,6116
Jet Airways,2019-05-09,Banglore,Delhi,11:10:00,14:05:00,175,0,no info,7229
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,18:50:00,770,1,no info,14629
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,540,1,in-flight meal not included,11399
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,04:40:00,730,1,no info,14388
Indigo,2019-05-03,Chennai,Kolkata,11:35:00,14:00:00,145,0,no info,4332
Air India,2019-05-27,Delhi,Cochin,10:00:00,19:15:00,555,1,no info,12029
Vistara,2019-05-09,Chennai,Kolkata,07:05:00,09:20:00,135,0,no info,3687
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,19:00:00,1680,1,in-flight meal not included,10262
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0,no info,4340
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1,in-flight meal not included,7438
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1,no info,14641
Multiple Carriers,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1,no info,15078
Indigo,2019-04-15,Delhi,Cochin,05:05:00,12:10:00,425,1,no info,6287
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:15:00,520,1,no info,7155
Indigo,2019-05-15,Delhi,Cochin,18:35:00,01:30:00,415,1,no info,7191
Air India,2019-06-21,Banglore,Delhi,17:00:00,19:45:00,165,0,no info,7171
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1,in-flight meal not included,10031
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1,in-flight meal not included,9663
Air India,2019-03-15,Banglore,New Delhi,06:45:00,12:15:00,330,1,no info,8714
Multiple Carriers,2019-04-09,Delhi,Cochin,09:00:00,19:15:00,615,1,no info,12853
Spicejet,2019-05-18,Kolkata,Banglore,11:15:00,18:30:00,435,1,no info,10944
Multiple Carriers,2019-04-09,Delhi,Cochin,12:50:00,19:15:00,385,1,no info,6481
Air India,2019-05-01,Kolkata,Banglore,10:00:00,13:45:00,1665,2,no info,15164
Goair,2019-03-24,Banglore,New Delhi,07:45:00,10:40:00,175,0,no info,5048
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,1775,2,no info,15129
Air India,2019-05-09,Delhi,Cochin,09:45:00,09:25:00,1420,2,no info,9925
Multiple Carriers,2019-03-09,Delhi,Cochin,04:00:00,12:55:00,535,1,no info,16259
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,09:05:00,965,1,no info,9922
Air India,2019-03-06,Delhi,Cochin,23:00:00,07:40:00,520,1,no info,14777
